segment,start,finish,mean,sigma
663,44307,44399,1006.97,534
664,44400,44625,993.226,372.729
665,44626,44768,1006.39,383.104
666,44769,44819,1018.08,262.43
667,44820,44949,1030.65,395.186
668,44950,45039,1002.08,2434.26
669,45040,45080,1050.5,534.373
670,45081,45100,1027.35,112.411
671,45101,45130,1016.93,231.896
672,45131,45159,779.096,5526.33
673,45160,45243,1037.14,10156.2
674,45244,45309,1007.7,4260.25
675,45310,45365,915.604,6209.96
676,45366,45863,999.295,3295.04
677,45864,46120,969.299,1382.05
678,46121,46143,860.735,2567.12
679,46144,46176,1046.64,928.825
680,46177,46278,970.972,1239.31
681,46279,46328,1038.13,1062.83
682,46329,46368,975.196,512.973
683,46369,46428,924.48,1671.05
684,46429,46486,909.888,437.35
685,46487,46507,841.52,2057.68
686,46508,46592,1010.96,4158.63
687,46593,46631,983.264,5736.54
688,46632,46911,1015.24,2227.04
689,46912,46937,850.362,5506.37
690,46938,46977,1044.34,1203.22
691,46978,47121,1076.03,2385.06
692,47122,47161,901.368,8879.09
693,47162,47203,1086.68,1756.03
694,47204,47281,1042.14,1916.51
695,47282,47302,911.831,2796.24
696,47303,47670,1050.04,1490.56
697,47671,47737,1002.22,8350.37
698,47738,47801,1056.15,1342.58
699,47802,47834,1016.34,485.885
700,47835,47888,792.892,5765.58
701,47889,47911,942.936,1883.42
702,47912,47946,989.063,546.455
703,47947,47986,921.096,2506.54
704,47987,48017,1026.72,414.078
705,48018,48214,1009.72,1563.97
706,48215,48249,943.975,3545.4
707,48250,48295,1019.19,943.181
708,48296,48456,981.902,1800.09
709,48457,48491,975,200.347
710,48492,48521,950.783,1393.93
711,48522,48544,840.694,1629.8
712,48545,48575,1007.06,416.492
713,48576,48620,939.758,6673.99
714,48621,48746,971.975,1405.54
715,48747,48844,958.866,268.736
716,48845,48880,987.848,441.002
717,48881,48952,1004.12,484.791
718,48953,49128,987.306,373.622
719,49129,49165,963.894,187.711
720,49166,49210,782.454,3829.93
721,49211,49230,940.626,1293.95
722,49231,49268,876.028,2277
723,49269,49313,914.063,285.747
724,49314,49356,926.964,168.23
725,49357,49380,914.064,339.667
726,49381,49400,829.688,1918.51
727,49401,49463,942.09,223.736
728,49464,49494,924.144,285.624
729,49495,49617,969.63,1187.34
730,49618,49697,946.29,216.906
731,49698,49725,793.328,2218.35
732,49726,49764,955.329,1059.93
733,49765,50072,924.895,451.103
734,50073,50145,938.572,961.833
735,50146,50269,956.465,498.374
736,50270,50341,925.782,226.93
737,50342,50402,913.423,181.673
738,50403,50477,901.876,166.984
739,50478,50505,886.163,87.8621
740,50506,50597,895.212,122.263
741,50598,50704,905.886,264.144
742,50705,50783,921.382,542.046
743,50784,50803,937.109,80.1218
744,50804,50896,959.091,222.123
745,50897,50942,936.312,203.366
746,50943,50986,908.026,121.673
747,50987,51035,893.974,223.771
748,51036,51209,871.634,123.704
749,51210,51244,889.733,171.519
750,51245,51265,860.864,138.056
751,51266,51361,874.594,220.196
752,51362,51396,888.617,126.908
753,51397,51459,901.415,132.747
754,51460,51481,891.692,54.0579
755,51482,51591,917.473,130.519
756,51592,51691,937.267,487.612
757,51692,51820,953.793,263.247
